Country,Country Code,Time,Time Code,Access to Clean Fuels and Technologies for cooking (% of total population) [2.1_ACCESS.CFT.TOT],Access to electricity (% of rural population with access) [1.2_ACCESS.ELECTRICITY.RURAL],Access to electricity (% of total population) [1.1_ACCESS.ELECTRICITY.TOT],Access to electricity (% of urban population with access) [1.3_ACCESS.ELECTRICITY.URBAN],Energy intensity level of primary energy (MJ/2011 USD PPP) [6.1_PRIMARY.ENERGY.INTENSITY],Renewable electricity output (GWh) [4.1.2_REN.ELECTRICITY.OUTPUT],Renewable electricity share of total electricity output (%) [4.1_SHARE.RE.IN.ELECTRICITY],Renewable energy consumption (TJ) [3.1_RE.CONSUMPTION],Renewable energy share of TFEC (%) [2.1_SHARE.TOTAL.RE.IN.TFEC],Total electricity output (GWh) [4.1.1_TOTAL.ELECTRICITY.OUTPUT],Total final energy consumption (TFEC) (TJ) [1.1_TOTAL.FINAL.ENERGY.CONSUM]
Albania,ALB,1994,YR1994,..,100,100,100,5.40208456,3771,95.68637402,20176.84,51.45954422,3941,39209.13079
Albania,ALB,1995,YR1995,..,100,100,100,4.478546955,4204,93.98613906,20067.28,50.60970958,4473,39651.04753
Albania,ALB,1996,YR1996,..,100,100,100,4.380990718,5726,95.72049482,22131.96,51.63636056,5982,42861.1927
Albania,ALB,1997,YR1997,..,100,100,100,4.19322073,5028,96.17444529,19324.63,55.95334942,5228,34537.0388
Albania,ALB,1998,YR1998,..,100,100,100,4.240864148,4921,96.32021922,19245.59,49.98336544,5109,38503.98994
Albania,ALB,1999,YR1999,..,100,100,100,5.01370938,5284,97.32915822,26143.27,42.71831341,5429,61199.20922
Albania,ALB,2000,YR2000,39.8,100,100,100,4.705437455,4594,96.14901632,25572.2,41.44541557,4778,61700.91347
Albania,ALB,2001,YR2001,42.7,100,100,100,4.443339271,3555,95.30831099,24717,39.12566375,3730,63173.36916
Albania,ALB,2002,YR2002,45.23,100,100,100,4.696960808,3512,93.95398609,25840.23,35.89629403,3738,71985.78767
Albania,ALB,2003,YR2003,47.62,100,100,100,4.344377214,4885,97.85657051,23778.51,33.75272883,4992,70449.14833
Albania,ALB,2004,YR2004,50.53,100,100,100,4.517187374,5466,97.5026757,28505.72,35.93586809,5606,79323.86642
Albania,ALB,2005,YR2005,53.25,100,100,100,4.275716533,5373,98.71394452,28076.17,36.86948919,5443,76150.14642
Albania,ALB,2006,YR2006,55.57,100,100,100,3.958693064,5431,98.31643736,22033.78,31.71019543,5524,69484.84456
Albania,ALB,2007,YR2007,58.14,100,100,100,3.568300331,2788,97.48251748,22144.92,32.10093721,2860,68985.27558
Albania,ALB,2008,YR2008,60.75,100,100,100,3.442663378,3797,100,25902.98,35.91290611,3797,72127.21777
Albania,ALB,2009,YR2009,63.24,100,100,100,3.409104943,5201,99.98077662,28426.24,37.2166378,5202,76380.46229
Albania,ALB,2010,YR2010,65.23,100,100,100,3.256748236,7567,99.98678647,29286.06,37.11532977,7568,78905.56324
Albania,ALB,2011,YR2011,67.81,100,100,100,3.322800967,4132,98.59222143,29278.34,35.9625316,4191,81413.45644
Albania,ALB,2012,YR2012,69.96,100,100,100,2.941323617,4725,100,29877.97,40.0482996,4725,74604.84041
Albania,ALB,2013,YR2013,71.78,100,100,100,3.382528489,6959,100,33755.15,41.28897372,6959,81753.4246
Albania,ALB,2014,YR2014,73.98,100,100,100,3.158878953,4724,100,33160.59,38.68950076,4724,85709.53192
Albania,ALB,2015,YR2015,75.37,100,100,100,2.886611482,5895,100,31555.45,38.61521047,5895,81717.66932
Albania,ALB,2016,YR2016,77.42,100,100,100,..,..,..,..,..,..,..
Algeria,DZA,1990,YR1990,..,96.39231475,98.27137756,100,3.500934776,135,0.838301043,811.7773,0.177228303,16104,458040.4417
Algeria,DZA,1991,YR1991,..,96.55789324,98.37776947,100,3.748161357,293,1.689247622,1618.042,0.323692176,17345,499870.5931
Algeria,DZA,1992,YR1992,..,96.72800162,98.48365784,100,3.768854851,199,1.088264246,1475.022,0.289771221,18286,509029.8461
Algeria,DZA,1993,YR1993,..,96.89752011,98.58647919,100,3.863424334,353,1.818275471,2476.945,0.476341507,19414,519993.5262
Algeria,DZA,1994,YR1994,..,97.05944361,98.68318939,100,3.757739117,166,0.834884072,2003.401,0.403959587,19883,495940.9463
Algeria,DZA,1995,YR1995,..,97.20635816,98.77071381,100,3.77719006,193,0.978950038,2093.974,0.422480315,19715,495638.2407
Algeria,DZA,1996,YR1996,..,97.33117134,98.8460083,99.99935913,3.513266179,135,0.653626416,1936.54,0.389526171,20654,497152.7319
Algeria,DZA,1997,YR1997,..,97.43048754,98.90600586,99.99464417,3.560951238,75,0.348885891,2300.51,0.472147669,21497,487243.7486
Algeria,DZA,1998,YR1998,..,97.50512573,98.94764709,99.97888184,3.506474722,215,0.924254148,2781.625,0.544070942,23262,511261.4524
Algeria,DZA,1999,YR1999,..,97.55290584,98.96788025,99.94638062,3.627038614,203,0.819970109,2758.481,0.51001769,24757,540859.8675
Algeria,DZA,2000,YR2000,86.47,97.57024691,98.96515656,99.89823914,3.549440591,54,0.212498032,2383.824,0.42737224,25412,557786.3463
Algeria,DZA,2001,YR2001,87.68,97.55850318,98.94402313,99.84062195,3.453076269,69,0.25915493,2425.061,0.427684984,26625,567020.3755
Algeria,DZA,2002,YR2002,88.87,97.52262352,98.91053772,99.77935791,3.497747601,57,0.206163194,3172.382,0.514766169,27648,616276.3191
Algeria,DZA,2003,YR2003,89.4,97.47133624,98.87077332,99.71820068,3.467578785,265,0.896148253,3193.977,0.46909239,29571,680884.4209
Algeria,DZA,2004,YR2004,90.3,97.41508731,98.83078766,99.66005707,3.365929924,251,0.8032,3144.298,0.441740736,31250,711797.1562
Algeria,DZA,2005,YR2005,90.97,97.36528677,98.79664612,99.60774231,3.309822235,555,1.636444051,4559.053,0.584727487,33915,779688.5047
Algeria,DZA,2006,YR2006,91.09,97.33402237,98.77441406,99.56397247,3.484977185,218,0.618861069,3287.996,0.408727369,35226,804447.2303
Algeria,DZA,2007,YR2007,91.56,97.33483007,98.7701416,99.53124237,3.576547705,226,0.607592214,3600.779,0.41140925,37196,875230.4434
Algeria,DZA,2008,YR2008,92.06,97.91063487,99.3,100,3.533948099,283,0.703350234,2707.185,0.298765662,40236,906123.2077
Algeria,DZA,2009,YR2009,92.42,97.46213388,98.82767487,99.5056839,3.804011669,306,0.794784551,3044.288,0.311808049,38501,976334.0015
Algeria,DZA,2010,YR2010,92.41,97.59427076,98.88497162,99.5056839,3.610867943,174,0.380460926,2627.102,0.258071762,45734,1017973.444
Algeria,DZA,2011,YR2011,92.49,97.76635687,98.95729828,99.51237488,3.660624638,502,0.980009371,1939.493,0.177339472,51224,1093661.2
Algeria,DZA,2012,YR2012,92.47,97.85878421,98.76466047,99.25673759,3.891393973,622,1.083680332,2242.983,0.188181413,57397,1191925.899
Algeria,DZA,2013,YR2013,92.83,98.18665651,99.13498688,99.55096436,3.918351311,330,0.551010185,1774.082,0.140451785,59890,1263125.28
Algeria,DZA,2014,YR2014,93.1,98.42962343,99.23434448,99.57711029,4.102356185,254,0.395379969,902.2791,0.068640475,64242,1314500.079
Algeria,DZA,2015,YR2015,92.7,98.68768253,99.33670807,99.60533142,4.132702365,222,0.322683799,833.6698,0.058958684,68798,1413989.835
Algeria,DZA,2016,YR2016,92.62,98.95537236,99.43956757,99.63442993,..,..,..,..,..,..,..
American Samoa,ASM,1990,YR1990,..,..,..,..,..,0,0,0,0,100,306
American Samoa,ASM,1991,YR1991,..,..,..,..,..,0,0,0,0,108,331.2
American Samoa,ASM,1992,YR1992,..,..,..,..,..,0,0,0,0,108,313.2
American Samoa,ASM,1993,YR1993,..,..,..,..,..,0,0,0,0,122,342
American Samoa,ASM,1994,YR1994,..,..,..,..,..,0,0,0,0,130,370.8
American Samoa,ASM,1995,YR1995,..,..,..,..,..,0,0,0,0,137,417.6
American Samoa,ASM,1996,YR1996,..,..,..,..,..,0,0,0,0,143,432
American Samoa,ASM,1997,YR1997,..,..,..,..,..,0,0,0,0,150,457.2
American Samoa,ASM,1998,YR1998,..,..,..,..,..,0,0,0,0,156,482.4
American Samoa,ASM,1999,YR1999,..,..,..,..,..,0,0,0,0,162,500.4
American Samoa,ASM,2000,YR2000,..,..,..,..,..,0,0,0,0,169,525.6
American Samoa,ASM,2001,YR2001,..,..,..,..,..,0,0,0,0,171,532.8
American Samoa,ASM,2002,YR2002,..,..,..,..,..,0,0,0,0,178.6,561.96
American Samoa,ASM,2003,YR2003,..,..,..,..,..,0,0,0,0,188.3,595.44
American Samoa,ASM,2004,YR2004,..,..,..,..,..,0,0,0,0,188.1,598.68
American Samoa,ASM,2005,YR2005,..,..,..,..,..,0,0,0,0,189,602.28
American Samoa,ASM,2006,YR2006,..,..,..,..,..,0,0,0,0,188.7,603.36
American Samoa,ASM,2007,YR2007,..,..,..,..,..,0,0,0,0,185.2,582.12
American Samoa,ASM,2008,YR2008,..,..,..,..,..,0,0,0,0,188.4,599.76
American Samoa,ASM,2009,YR2009,..,..,..,..,..,0,0,0,0,178.3,569.88
American Samoa,ASM,2010,YR2010,..,..,..,..,..,0,0,0,0,159.1,510.48
American Samoa,ASM,2011,YR2011,..,..,..,..,..,0,0,0,0,155,490.68
American Samoa,ASM,2012,YR2012,..,..,..,..,..,1.1,0.702426564,3.396092,0.702426574,156.6,483.48
American Samoa,ASM,2013,YR2013,..,..,..,..,..,1.1,0.703140481,3.430198,0.70314054,156.441,487.8396
American Samoa,ASM,2014,YR2014,..,..,..,..,..,1.1,0.700882475,3.40046,0.700882415,156.945,485.1684
American Samoa,ASM,2015,YR2015,..,..,..,..,..,1.5,0.885478158,4.968064,0.885478202,169.4,561.06
American Samoa,ASM,2016,YR2016,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,1990,YR1990,..,100,100,100,..,120,100,952.145,14.27355021,120,6670.695
Andorra,AND,1991,YR1991,..,100,100,100,..,120,100,952.145,14.27355021,120,6670.695
Andorra,AND,1992,YR1992,..,100,100,100,..,120,100,954.8855,14.30875446,120,6673.4355
Andorra,AND,1993,YR1993,..,100,100,100,..,120,100,935.0695,13.91895459,120,6717.957833
Andorra,AND,1994,YR1994,..,100,100,100,..,120,100,972.849,14.56102442,120,6681.185143
Andorra,AND,1995,YR1995,..,100,100,100,..,124,100,1018.209,14.48104808,124,7031.321174
Andorra,AND,1996,YR1996,..,100,100,100,..,110,100,1053.129,14.1000476,110,7468.974783
Andorra,AND,1997,YR1997,..,100,100,100,..,100,100,1086.969,14.19400246,100,7657.945695
Andorra,AND,1998,YR1998,..,100,100,100,..,90,100,1172.289,14.45864172,90,8107.877783
Andorra,AND,1999,YR1999,..,100,100,100,..,80,100,1237.454,14.54989054,80,8504.902468
Andorra,AND,2000,YR2000,100,100,100,100,..,80,100,1299.374,14.89066404,80,8726.098424
Andorra,AND,2001,YR2001,100,100,100,100,..,80,100,1384.334,15.77386809,80,8776.122585
Andorra,AND,2002,YR2002,100,100,100,100,..,80,100,1453.809,16.22181888,80,8962.059128
Andorra,AND,2003,YR2003,100,100,100,100,..,80,100,1536.969,16.91230759,80,9087.872793
Andorra,AND,2004,YR2004,100,100,100,100,..,93,98.93617021,1622.726,16.87442812,94,9616.479971
Andorra,AND,2005,YR2005,100,100,100,100,..,84,98.82352941,1661.105,16.90243685,85,9827.606604
Andorra,AND,2006,YR2006,100,100,100,100,..,70,94.59459459,1653.998,17.48599429,74,9458.987419
Andorra,AND,2007,YR2007,100,100,100,100,..,57,75,1592.454,16.94077654,76,9400.123993
Andorra,AND,2008,YR2008,100,100,100,100,..,63,80.05082592,1639.672,17.42274058,78.7,9411.102647
Andorra,AND,2009,YR2009,100,100,100,100,..,62,76.54320988,1588.375,17.51594817,81,9068.164536
Andorra,AND,2010,YR2010,100,100,100,100,..,100,88.73114463,1742.786,19.09072997,112.7,9128.9647
Andorra,AND,2011,YR2011,100,100,100,100,..,78.9,86.51315789,1644.003,18.97154584,91.2,8665.6249
Andorra,AND,2012,YR2012,100,100,100,100,..,76.2,86.6894198,1663.126,19.19552869,87.9,8664.132292
Andorra,AND,2013,YR2013,100,100,100,100,..,101.8,88.7532694,1660.739,19.56369803,114.7,8488.88077
Andorra,AND,2014,YR2014,100,100,100,100,..,113.4,89.43217666,1640.716,19.88632294,126.8,8250.474483
Andorra,AND,2015,YR2015,100,100,100,100,..,85.6,86.1167002,1642.52,19.74780863,99.4,8317.479833
Andorra,AND,2016,YR2016,100,100,100,100,..,..,..,..,..,..,..
Angola,AGO,1990,YR1990,..,7.518615066,11.39780807,22.68237495,4.605299718,725,86.20689655,135443.7,72.25525192,841,187451.7027
Angola,AGO,1991,YR1991,..,8.330743085,12.57937908,24.5339241,4.772857958,772,82.65524625,138583,71.8886392,934,192774.549
Angola,AGO,1992,YR1992,..,9.121241095,13.76043987,26.38530159,5.155180405,840,88.70116156,141949.7,72.72328252,947,195191.5468
Angola,AGO,1993,YR1993,..,9.887080945,14.93844128,28.2356472,7.090346605,890,93.68421053,145325,71.27705632,950,203887.4885
Angola,AGO,1994,YR1994,..,10.62208304,16.11032486,30.08393288,6.944231409,895,93.71727749,148133.8,72.22026891,955,205113.8859
Angola,AGO,1995,YR1995,..,11.3215701,17.27303123,31.92912483,6.285041085,900,93.75,151321.8,73.94588834,960,204638.5585
Angola,AGO,1996,YR1996,..,11.98020143,18.42350197,33.77019501,5.816001771,925,89.98054475,154657.1,73.13960045,1028,211454.6689
Angola,AGO,1997,YR1997,..,12.59309499,19.55867577,35.60611343,5.507563152,875,76.35253054,158067.2,73.73441595,1146,214373.7059
Angola,AGO,1998,YR1998,..,13.15427969,20.67549515,37.43584442,5.143653728,1060,80.42488619,161509.5,76.81979363,1318,210244.6419
Angola,AGO,1999,YR1999,..,13.65746213,21.77090073,39.25836563,5.233148287,894,66.96629213,164214.4,73.41078383,1335,223692.476
Angola,AGO,2000,YR2000,37.27,14.09835409,22.84335518,41.07328033,5.218280891,912,63.11418685,167766.4,74.61817144,1445,224833.1697
Angola,AGO,2001,YR2001,37.96,4,20,30,5.227248303,1017,62.08791209,171936.8,73.75785896,1638,233109.8034
Angola,AGO,2002,YR2002,38.49,14.81210648,24.93909454,44.68963623,5.876512797,1143,64.7592068,176422.6,72.12512644,1765,244606.2956
Angola,AGO,2003,YR2003,39.24,15.09558998,25.97450829,46.49671173,6.025119691,1241,62.20551378,180994.4,67.30611672,1995,268912.2606
Angola,AGO,2004,YR2004,39.94,15.33659695,27.00970078,48.30680847,5.590728406,1750,78.40501792,185921.1,65.49306462,2232,283879.0658
Angola,AGO,2005,YR2005,40.75,15.54392421,28.05073547,50.12273788,4.568534589,2219,79.64824121,191551,70.95420236,2786,269964.2778
Angola,AGO,2006,YR2006,41.39,15.72091824,29.10367584,51.94732285,4.151633624,2665,80.61101028,198055.3,65.02256418,3306,304594.7242
Angola,AGO,2007,YR2007,41.91,8.8,37.5,66.1,3.612273135,2497,77.6188996,201571.8,61.5997035,3217,327228.5231
Angola,AGO,2008,YR2008,42.58,16.0093751,31.268013,55.63293839,3.435367756,3134,75.40904716,207937.7,58.10797504,4156,357847.0939
Angola,AGO,2009,YR2009,43.32,16.1241288,32.38246918,57.49500656,3.64542774,3094,65.34318902,211971.1,55.74897651,4735,380224.2001
Angola,AGO,2010,YR2010,44.1,16.20995753,33.5149498,59.36778259,3.697914144,3703,67.95742338,218134.7,54.19383662,5449,402508.3175
Angola,AGO,2011,YR2011,44.8,5.5,34.6,82.5,3.695967555,4007,70.90780393,223293.9,52.71567876,5651,423581.5705
Angola,AGO,2012,YR2012,45.36,16.2842982,35.82196426,63.13833618,3.857077991,3772,60.7994842,226763.8,52.24573631,6204,434033.1212
Angola,AGO,2013,YR2013,46.15,16.27223675,36.99048996,65.03253937,3.615593683,4767,58.02093476,234067.9,50.68611601,8216,461798.8484
Angola,AGO,2014,YR2014,46.67,3,32,51,3.646200582,5041,53.17510549,239123.1,50.79746068,9480,470738.2944
Angola,AGO,2015,YR2015,47.36,7,42,64,3.605959068,5192,53.17492831,243771.1,49.56821033,9764,491789.1898
Angola,AGO,2016,YR2016,48.05,15.98420912,40.52060699,70.72973633,..,..,..,..,..,..,..
Anguilla,AIA,1990,YR1990,..,..,89.1986618,89.1986618,..,0,0,1.827,0.296881525,16.7,615.397
Anguilla,AIA,1991,YR1991,..,..,89.89792633,89.89792633,..,0,0,1.827,0.294029133,14.5,621.367
Anguilla,AIA,1992,YR1992,..,..,90.4,90.4,..,0,0,1.827,0.270764142,19.5,674.757
Anguilla,AIA,1993,YR1993,..,..,91.29238892,91.29238892,..,0,0,1.827,0.247605598,27.2,737.867
Anguilla,AIA,1994,YR1994,..,..,91.98197174,91.98197174,..,0,0,1.827,0.237712031,25.9,768.577
Anguilla,AIA,1995,YR1995,..,..,92.6623764,92.6623764,..,0,0,1.827,0.231076574,22.2,790.647
Anguilla,AIA,1996,YR1996,..,..,93.33054352,93.33054352,..,0,0,1.827,0.224674333,24.6,813.177
Anguilla,AIA,1997,YR1997,..,..,93.9834137,93.9834137,..,0,0,1.827,0.217586257,32,839.667
Anguilla,AIA,1998,YR1998,..,..,94.61792755,94.61792755,..,0,0,1.827,0.213069424,34.3,857.467
Anguilla,AIA,1999,YR1999,..,..,95.23103333,95.23103333,..,0,0,1.827,0.199274236,40,916.827
Anguilla,AIA,2000,YR2000,..,..,95.82118988,95.82118988,..,0,0,1.827,0.192075796,45.8,951.187
Anguilla,AIA,2001,YR2001,..,..,96.7,96.7,..,0,0,1.827,0.176674174,53.6,1034.107
Anguilla,AIA,2002,YR2002,..,..,96.95232391,96.95232391,..,0,0,1.827,0.186510979,55.3,979.567
Anguilla,AIA,2003,YR2003,..,..,97.50543213,97.50543213,..,0,0,1.827,0.168877854,58.4,1081.847
Anguilla,AIA,2004,YR2004,..,..,98.06269836,98.06269836,..,0,0,1.827,0.14163702,62.1,1289.917
Anguilla,AIA,2005,YR2005,..,..,98.61990356,98.61990356,..,0,0,1.827,0.14011628,72,1303.917
Anguilla,AIA,2006,YR2006,..,..,99.14859009,99.14859009,..,0,0,1.827,0.116555247,79.5,1567.497
Anguilla,AIA,2007,YR2007,..,..,99.57972717,99.57972717,..,0,0,1.827,0.116958166,89,1562.097
Anguilla,AIA,2008,YR2008,..,..,99.84980774,99.84980774,..,0,0,1.827,0.115611911,89.5,1580.287
Anguilla,AIA,2009,YR2009,..,..,99.96633911,99.96633911,..,0,0,1.827,0.11781191,91.2,1550.777
Anguilla,AIA,2010,YR2010,..,..,99.99650574,99.99650574,..,0,0,1.827,0.116685518,98.6,1565.747
Anguilla,AIA,2011,YR2011,..,..,100,100,..,0,0,1.827,0.125466379,95.2,1456.167
Anguilla,AIA,2012,YR2012,..,..,100,100,..,0,0,1.827,0.125590575,89.5,1454.727
Anguilla,AIA,2013,YR2013,..,..,100,100,..,0,0,1.827,0.14490834,88.6,1260.797
Anguilla,AIA,2014,YR2014,..,..,100,100,..,0,0,1.827,0.128141555,89.5,1425.767
Anguilla,AIA,2015,YR2015,..,..,100,100,..,0,0,1.827,0.112850434,94.3,1618.957
Anguilla,AIA,2016,YR2016,..,..,100,100,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,1990,YR1990,..,76.96147746,85.12319946,100,3.953882216,0,0,0,0,95,2551.9
Antigua and Barbuda,ATG,1991,YR1991,..,77.77213417,85.65510559,100,3.710418236,0,0,0,0,95,2597.5
Antigua and Barbuda,ATG,1992,YR1992,..,78.7204501,86.18650055,100,3.639860773,0,0,0,0,95,2597.5
Antigua and Barbuda,ATG,1993,YR1993,..,79.65228322,86.71483612,100,3.530636882,0,0,0,0,95,2641.8
Antigua and Barbuda,ATG,1994,YR1994,..,80.56384326,87.23705292,100,3.28467528,0,0,0,0,97,2601.5
Antigua and Barbuda,ATG,1995,YR1995,..,81.4503978,87.75009155,100,3.50668386,0,0,0,0,98,2727.2
Antigua and Barbuda,ATG,1996,YR1996,..,82.30838245,88.25089264,100,3.456936122,0,0,0,0,109,2803.9
Antigua and Barbuda,ATG,1997,YR1997,..,83.13292129,88.73640442,100,3.461551274,0,0,0,0,120,2832.7
Antigua and Barbuda,ATG,1998,YR1998,..,83.92071118,89.20355225,100,3.43076397,0,0,0,0,130,2950.4
Antigua and Barbuda,ATG,1999,YR1999,..,84.66785919,89.64929199,100,3.415401888,0,0,0,0,140,3064.2
Antigua and Barbuda,ATG,2000,YR2000,96.66,85.37281108,90.07208252,100,3.371332142,0,0,0,0,150,3136
Antigua and Barbuda,ATG,2001,YR2001,96.97,86.04838225,90.47645569,99.99951172,3.512185361,0,0,0,0,171,3182.8
Antigua and Barbuda,ATG,2002,YR2002,97.2,86.74865413,90.8684845,99.9960556,3.640217088,0,0,0,0,191,3274.3
Antigua and Barbuda,ATG,2003,YR2003,97.4,87.42893769,91.25423431,99.98521423,3.70822558,0,0,0,0,211,3544.3
Antigua and Barbuda,ATG,2004,YR2004,97.57,88.09941031,91.63976288,99.96516418,3.675154916,0,0,0,0,221,3661.5
Antigua and Barbuda,ATG,2005,YR2005,97.7,89.00451736,92.2,99.94076538,3.536519815,0,0,0,0,243,3759.6
Antigua and Barbuda,ATG,2006,YR2006,97.9,89.43456862,92.43440247,99.9210968,3.249176539,0,0,0,0,258,3989.8
Antigua and Barbuda,ATG,2007,YR2007,98.03,90.1105124,92.85564423,99.91366577,3.116334811,0,0,0,0,285.4,4139.74
Antigua and Barbuda,ATG,2008,YR2008,98.1,90.80229977,93.29940796,99.91366577,3.190453904,0,0,0,0,296,4244.17
Antigua and Barbuda,ATG,2009,YR2009,98.24,91.50789833,93.7641983,99.92112732,3.828721889,0,0,0,0,327.4,4605.39
Antigua and Barbuda,ATG,2010,YR2010,98.34,92.2216022,94.24700928,99.94070435,4.181389362,5,1.494768311,0,0,326,4412.85
Antigua and Barbuda,ATG,2011,YR2011,98.43,92.68294474,94.55201403,99.96499634,4.184252305,5,1.497005988,0,0,325,4337.15
Antigua and Barbuda,ATG,2012,YR2012,98.48,93.66651749,95.25469208,99.98506927,4.137797271,0,0,0,0,327,4492.95
Antigua and Barbuda,ATG,2013,YR2013,98.55,94.39272743,95.77355194,99.99598694,4.152174587,0,0,0,0,330,4456.95
Antigua and Barbuda,ATG,2014,YR2014,98.61,95.11743986,96.29841614,99.99949646,4.011551141,0,0,0,0,336,4528.41
Antigua and Barbuda,ATG,2015,YR2015,98.67,95.83648999,96.82629395,100,3.891629265,0,0,0,0,340,4701.1
Antigua and Barbuda,ATG,2016,YR2016,98.75,96.54689135,97.35466766,100,..,..,..,..,..,..,..
